Subfamily,Genus,Genus.Species,colony_size,cs_source,cs_notes,nesting_strata,diet,status,morphism,notes_biology,
Ponerinae,Anochetus,Anochetus.mayri,12,Antwiki Wheeler 1908,,Leaf Litter,Predator,Native,Monomorphic,,
Myrmicinae,Aphaenogaster,Aphaenogaster.ashmeadi,175,Deyrup 2016,median value between 100-250,Ground,Predator,Native,Monomorphic,,
Myrmicinae,Aphaenogaster,Aphaenogaster.ashmeadi,423,Deyrup 2016,,Ground,Predator,Native,Monomorphic,,
Myrmicinae,Aphaenogaster,Aphaenogaster.ashmeadi,333,Van Pelt Ref in Deyrup,,Ground,Predator,Native,Monomorphic,,
Myrmicinae,Aphaenogaster,Aphaenogaster.carolinensis,16,Doug Booher Collection,Unpublished research,Ground/Leaf Litter,Predator,Native,Monomorphic,,
Myrmicinae,Aphaenogaster,Aphaenogaster.carolinensis,42,Doug Booher Collection,Unpublished research,Ground/Leaf Litter,Predator,Native,Monomorphic,,
Myrmicinae,Aphaenogaster,Aphaenogaster.flemingi,300,King,,Ground,Predator,Native,Monomorphic,,
Myrmicinae,Aphaenogaster,Aphaenogaster.floridana,50,King,,Ground,Predator,Native,Monomorphic,,
Myrmicinae,Aphaenogaster,Aphaenogaster.fulva,800,Deyrup 2016,Up to 800 workers,Ground,Predator,Native,Monomorphic,,
Myrmicinae,Aphaenogaster,Aphaenogaster.fulva,281,Burchill,,Ground,Predator,Native,Monomorphic,,
Myrmicinae,Aphaenogaster,Aphaenogaster.lamellidens,600,Deyrup 2016,Up to 600 workers,Ground/Arboreal,Predator,Native,Monomorphic,,
Myrmicinae,Aphaenogaster,Aphaenogaster.lamellidens,300,King,,Ground/Arboreal,Predator,Native,Monomorphic,,
Myrmicinae,Aphaenogaster,Aphaenogaster.miamiana/carolinensis,800,Deyrup 2016,"could be the same as carolinensis, up to 800 workers",Ground/Leaf Litter,Predator,Native,Monomorphic,native status really ukniwn,
Myrmicinae,Aphaenogaster,Aphaenogaster.rudis,738,"Talbot 1964 in ""Populations of ants in a Missouri Woodland""",,Ground/Leaf Litter,Omnivore,Native,Monomorphic," (not in book, but determined by Deyrup from Eglin AFB left)",
Myrmicinae,Aphaenogaster,Aphaenogaster.rudis,303,Burchill,,Ground/Leaf Litter,Omnivore,Native,Monomorphic," (not in book, but determined by Deyrup from Eglin AFB left)",
Myrmicinae,Aphaenogaster,Aphaenogaster.rudis,326,Burchill,,Ground/Leaf Litter,Omnivore,Native,Monomorphic," (not in book, but determined by Deyrup from Eglin AFB left)",
Myrmicinae,Aphaenogaster,Aphaenogaster.tennesseensis,600,Carrol 1975 ,Up to 600 workers,Ground,,Native,Monomorphic,"suspected parasite of other aphaenogaster, rare",
Myrmicinae,Aphaenogaster,Aphaenogaster.treatae,200,Deyrup 2016,,Ground,Omnivore,Native,Monomorphic,,
Myrmicinae,Aphaenogaster,Aphaenogaster.treatae,682,"Deyrup 2016, Burchill",65-1662,Ground,Omnivore,Native,Monomorphic,,
Myrmicinae,Aphaenogaster,Aphaenogaster.treatae,300,King,,Ground,Omnivore,Native,Monomorphic,,
Myrmicinae,Aphaenogaster,Aphaenogaster.umphreyi,,,,Ground,,Native,Monomorphic,Very little known about this,
Formicinae,Brachymyrmex,Brachymyrmex.depilis,22,Burchill,,Ground/Leaf Litter,Omnivore,Native,Monomorphic,,
Formicinae,Brachymyrmex,Brachymyrmex.depilis,200,King,,Ground/Leaf Litter,Omnivore,Native,Monomorphic,,
Formicinae,Camponotus,Camponotus.americanus (minor),3560,Burchill,,Ground,Omnivore,Native,Polymorphic,Nocturnal,
Formicinae,Camponotus,Camponotus.americanus (major),3560,Burchill,,Ground,Omnivore,Native,Polymorphic,Nocturnal,
Formicinae,Camponotus,Camponotus.caryae (minor),,,,Arboreal,,Native,Polymorphic,Very rare,
Formicinae,Camponotus,Camponotus.caryae (major) image not found,,,,Arboreal,,Native,Polymorphic,Very rare,
Formicinae,Camponotus,Camponotus.castaneus (minor),350,King,,Ground,Omnivore,Native,Polymorphic,Nocturnal,
Formicinae,Camponotus,Camponotus.castaneus (major),350,King,,Ground,Omnivore,Native,Polymorphic,Nocturnal,
Formicinae,Camponotus,Camponotus.decipiens (minor),,,,Arboreal,,Native,Polymorphic,,
Formicinae,Camponotus,Camponotus.decipiens (major),,,,Arboreal,,Native,Polymorphic,,
Formicinae,Camponotus,Camponotus.discolor (minor) image not found,70,King,,Arboreal,,Native,Polymorphic,Very rare,
Formicinae,Camponotus,Camponotus.discolor (major),70,King,,Arboreal,,Native,Polymorphic,Very rare,
Formicinae,Camponotus,Camponotus.floridanus (minor),10000,King,,Ground,Omnivore,Native,Polymorphic,,
Formicinae,Camponotus,Camponotus.floridanus (major),10000,King,,Ground,Omnivore,Native,Polymorphic,,
Formicinae,Camponotus,Camponotus.nearcticus (minor),69,Burchill,,Arboreal,Omnivore,Native,Polymorphic,,
Formicinae,Camponotus,Camponotus.nearcticus (minor),69,Burchill,,Arboreal,Omnivore,Native,Polymorphic,,
Formicinae,Camponotus,Camponotus.nearcticus (major),70,King,,Arboreal,Omnivore,Native,Polymorphic,,
Formicinae,Camponotus,Camponotus.nearcticus (major),70,King,,Arboreal,Omnivore,Native,Polymorphic,,
Formicinae,Camponotus,Camponotus.pennsylvanicus (minor) ,2222,Burchill,,Ground,Omnivore,Native,Polymorphic,,
Formicinae,Camponotus,Camponotus.pennsylvanicus (major),2222,Burchill,,Ground,Omnivore,Native,Polymorphic,,
Formicinae,Camponotus,Camponotus.snellingi (minor),,,,Ground/Leaf Litter,,Native,Polymorphic,,
Formicinae,Camponotus,Camponotus.snellingi (major),,,,Ground/Leaf Litter,,Native,Polymorphic,,
Formicinae,Camponotus,Camponotus.socius (minor),590,Burchill,,Ground,Omnivore,Native,Polymorphic,,Socius sizes:
Formicinae,Camponotus,Camponotus.socius (minor),590,Burchill,,Ground,Omnivore,Native,Polymorphic,,Socius sizes:
Formicinae,Camponotus,Camponotus.socius (major),350,King,,Ground,Omnivore,Native,Polymorphic,,590
Formicinae,Camponotus,Camponotus.socius (major),350,King,,Ground,Omnivore,Native,Polymorphic,,590
Myrmicinae,Cephalotes,Cephalotes.varians (minor),1000,Burchill,,Arboreal,Omnivore,Native,Polymorphic,"Nocturnal, mostly scavengers",217
Myrmicinae,Cephalotes,Cephalotes.varians (major),1000,Burchill,,Arboreal,Omnivore,Native,Polymorphic,"Nocturnal, mostly scavengers",124
